2020-10-07/19:55:08		Start of Validation on files!!
2020-10-07/19:55:12		Raw Data Validation Complete!!
2020-10-07/19:55:12		Starting Data Transforamtion!!
2020-10-07/19:55:16		DataTransformation Completed!!!
2020-10-07/19:55:16		Creating Training_Database and tables on the basis of given schema!!!
2020-10-07/19:56:44		Table creation Completed!!
2020-10-07/19:56:44		Insertion of Data into Table started!!!!
2020-10-07/19:59:02		Insertion in Table completed!!!
2020-10-07/19:59:02		Deleting Good Data Folder!!!
2020-10-07/19:59:02		Good_Data folder deleted!!!
2020-10-07/19:59:02		Moving bad files to Archive and deleting Bad_Data folder!!!
2020-10-07/19:59:02		Bad files moved to archive!! Bad folder Deleted!!
2020-10-07/19:59:02		Validation Operation completed!!
2020-10-07/19:59:02		Extracting csv file from table
